"_date","station","lng_type","time_group","ke","oal"
2021-05-12,ICN,FR,BK,2,0
2021-05-12,ICN,FR,DN,1,0
2021-05-12,ICN,FR,LN,2,0
2021-05-12,ICN,MR,BK,29,0
2021-05-12,ICN,MR,DN,4,0
2021-05-12,ICN,MR,LN,5,0
2021-05-12,ICN,PR,BK,97,1
2021-05-12,ICN,PR,DN,19,0
2021-05-12,ICN,PR,LN,54,8
2021-05-13,ICN,FR,LN,1,0
2021-05-13,ICN,MR,BK,11,0
2021-05-13,ICN,MR,DN,8,0
2021-05-13,ICN,PR,BK,58,5
2021-05-13,ICN,PR,DN,35,24
2021-05-13,ICN,PR,LN,38,11
2021-05-14,ICN,FR,BK,3,0
2021-05-14,ICN,MR,BK,16,0
2021-05-14,ICN,MR,DN,3,0
2021-05-14,ICN,MR,LN,4,0
2021-05-14,ICN,PR,BK,83,8
2021-05-14,ICN,PR,DN,40,1
2021-05-14,ICN,PR,LN,45,8
2021-05-15,ICN,FR,BK,4,0
2021-05-15,ICN,FR,DN,2,0
2021-05-15,ICN,MR,BK,8,0
2021-05-15,ICN,MR,DN,5,0
2021-05-15,ICN,MR,LN,2,0
2021-05-15,ICN,PR,BK,61,20
2021-05-15,ICN,PR,DN,32,26
2021-05-15,ICN,PR,LN,55,7
2021-05-16,ICN,FR,BK,4,0
2021-05-16,ICN,FR,DN,2,0
2021-05-16,ICN,FR,LN,2,0
2021-05-16,ICN,MR,BK,21,0
2021-05-16,ICN,MR,DN,3,0
2021-05-16,ICN,MR,LN,11,0
2021-05-16,ICN,PR,BK,68,14
2021-05-16,ICN,PR,DN,43,5
2021-05-16,ICN,PR,LN,48,1
2021-05-17,ICN,FR,BK,1,0
2021-05-17,ICN,FR,LN,1,0
2021-05-17,ICN,MR,BK,7,0
2021-05-17,ICN,MR,DN,4,0
2021-05-17,ICN,MR,LN,2,0
2021-05-17,ICN,PR,BK,64,6
2021-05-17,ICN,PR,DN,27,29
2021-05-17,ICN,PR,LN,36,3
2021-05-18,ICN,FR,DN,1,0
2021-05-18,ICN,FR,LN,1,0
2021-05-18,ICN,MR,BK,4,0
2021-05-18,ICN,MR,DN,4,0
2021-05-18,ICN,MR,LN,4,0
2021-05-18,ICN,PR,BK,46,3
2021-05-18,ICN,PR,DN,31,13
2021-05-18,ICN,PR,LN,43,9
2021-05-19,ICN,FR,BK,1,0
2021-05-19,ICN,FR,LN,1,0
2021-05-19,ICN,MR,BK,21,0
2021-05-19,ICN,MR,DN,2,0
2021-05-19,ICN,MR,LN,6,3
2021-05-19,ICN,PR,BK,134,4
2021-05-19,ICN,PR,DN,25,0
2021-05-19,ICN,PR,LN,50,11
2021-05-20,ICN,FR,BK,3,0
2021-05-20,ICN,FR,DN,1,0
2021-05-20,ICN,FR,LN,1,0
2021-05-20,ICN,MR,BK,15,0
2021-05-20,ICN,MR,DN,7,0
2021-05-20,ICN,MR,LN,2,0
2021-05-20,ICN,PR,BK,41,13
2021-05-20,ICN,PR,DN,38,36
2021-05-20,ICN,PR,LN,32,9
2021-05-21,ICN,FR,BK,1,0
2021-05-21,ICN,FR,DN,4,0
2021-05-21,ICN,MR,BK,9,0
2021-05-21,ICN,MR,DN,1,0
2021-05-21,ICN,MR,LN,4,0
2021-05-21,ICN,PR,BK,83,18
2021-05-21,ICN,PR,DN,28,3
2021-05-21,ICN,PR,LN,50,4
2021-05-22,ICN,FR,BK,3,0
2021-05-22,ICN,FR,DN,2,0
2021-05-22,ICN,MR,BK,9,0
2021-05-22,ICN,MR,DN,13,0
2021-05-22,ICN,MR,LN,8,0
2021-05-22,ICN,PR,BK,70,19
2021-05-22,ICN,PR,DN,29,31
2021-05-22,ICN,PR,LN,32,9
2021-05-23,ICN,FR,BK,6,0
2021-05-23,ICN,FR,DN,1,0
2021-05-23,ICN,MR,BK,17,0
2021-05-23,ICN,MR,DN,10,0
2021-05-23,ICN,MR,LN,10,0
2021-05-23,ICN,PR,BK,100,15
2021-05-23,ICN,PR,DN,42,7
2021-05-23,ICN,PR,LN,50,4
2021-05-24,ICN,FR,BK,1,0
2021-05-24,ICN,FR,DN,1,0
2021-05-24,ICN,FR,LN,1,0
2021-05-24,ICN,MR,BK,10,0
2021-05-24,ICN,MR,DN,6,0
2021-05-24,ICN,MR,LN,5,0
2021-05-24,ICN,PR,BK,62,2
2021-05-24,ICN,PR,DN,17,20
2021-05-24,ICN,PR,LN,37,2
2021-05-25,ICN,FR,DN,2,0
2021-05-25,ICN,MR,BK,3,0
2021-05-25,ICN,MR,DN,2,0
2021-05-25,ICN,MR,LN,3,0
2021-05-25,ICN,PR,BK,59,3
2021-05-25,ICN,PR,DN,33,13
2021-05-25,ICN,PR,LN,40,8
2021-05-26,ICN,FR,BK,4,0
2021-05-26,ICN,FR,DN,5,0
2021-05-26,ICN,FR,LN,1,0
2021-05-26,ICN,MR,BK,12,0
2021-05-26,ICN,MR,DN,2,0
2021-05-26,ICN,MR,LN,4,0
2021-05-26,ICN,PR,BK,140,6
2021-05-26,ICN,PR,DN,29,0
2021-05-26,ICN,PR,LN,54,5
2021-05-27,ICN,FR,BK,3,0
2021-05-27,ICN,FR,DN,6,0
2021-05-27,ICN,MR,BK,6,0
2021-05-27,ICN,MR,DN,12,0
2021-05-27,ICN,MR,LN,5,0
2021-05-27,ICN,PR,BK,67,8
2021-05-27,ICN,PR,DN,45,23
2021-05-27,ICN,PR,LN,69,16
2021-05-28,ICN,FR,BK,4,0
2021-05-28,ICN,FR,DN,4,0
2021-05-28,ICN,FR,LN,3,0
2021-05-28,ICN,MR,BK,12,0
2021-05-28,ICN,MR,DN,10,0
2021-05-28,ICN,MR,LN,13,0
2021-05-28,ICN,PR,BK,122,13
2021-05-28,ICN,PR,DN,33,4
2021-05-28,ICN,PR,LN,88,7
2021-05-29,ICN,FR,BK,2,0
2021-05-29,ICN,FR,DN,2,0
2021-05-29,ICN,MR,BK,10,0
2021-05-29,ICN,MR,DN,5,0
2021-05-29,ICN,MR,LN,2,0
2021-05-29,ICN,PR,BK,76,29
2021-05-29,ICN,PR,DN,42,31
2021-05-29,ICN,PR,LN,33,7
2021-05-30,ICN,FR,BK,3,0
2021-05-30,ICN,FR,DN,2,0
2021-05-30,ICN,FR,LN,1,0
2021-05-30,ICN,MR,BK,16,0
2021-05-30,ICN,MR,DN,5,0
2021-05-30,ICN,MR,LN,5,0
2021-05-30,ICN,PR,BK,90,14
2021-05-30,ICN,PR,DN,24,8
2021-05-30,ICN,PR,LN,80,11
2021-05-31,ICN,FR,BK,3,0
2021-05-31,ICN,FR,DN,1,0
2021-05-31,ICN,FR,LN,1,0
2021-05-31,ICN,MR,BK,11,0
2021-05-31,ICN,MR,DN,10,0
2021-05-31,ICN,MR,LN,6,0
2021-05-31,ICN,PR,BK,67,3
2021-05-31,ICN,PR,DN,31,20
2021-05-31,ICN,PR,LN,43,5
2021-06-01,ICN,FR,DN,1,0
2021-06-01,ICN,MR,BK,6,0
2021-06-01,ICN,MR,DN,3,0
2021-06-01,ICN,MR,LN,7,0
2021-06-01,ICN,PR,BK,58,2
2021-06-01,ICN,PR,DN,40,13
2021-06-01,ICN,PR,LN,54,9
2021-06-02,ICN,FR,DN,2,0
2021-06-02,ICN,FR,LN,2,0
2021-06-02,ICN,MR,BK,16,0
2021-06-02,ICN,MR,DN,5,0
2021-06-02,ICN,MR,LN,13,0
2021-06-02,ICN,PR,BK,125,0
2021-06-02,ICN,PR,DN,34,0
2021-06-02,ICN,PR,LN,55,3
2021-06-03,ICN,FR,BK,1,0
2021-06-03,ICN,MR,BK,4,2
2021-06-03,ICN,MR,DN,10,0
2021-06-03,ICN,MR,LN,6,0
2021-06-03,ICN,PR,BK,53,27
2021-06-03,ICN,PR,DN,44,15
2021-06-03,ICN,PR,LN,47,2
2021-06-04,ICN,FR,BK,3,0
2021-06-04,ICN,FR,LN,3,0
2021-06-04,ICN,MR,BK,17,0
2021-06-04,ICN,MR,DN,6,0
2021-06-04,ICN,MR,LN,17,0
2021-06-04,ICN,PR,BK,85,11
2021-06-04,ICN,PR,DN,50,4
2021-06-04,ICN,PR,LN,55,6
2021-06-05,ICN,FR,BK,1,0
2021-06-05,ICN,FR,DN,5,0
2021-06-05,ICN,MR,DN,5,0
2021-06-05,ICN,MR,LN,7,0
2021-06-05,ICN,PR,BK,91,17
2021-06-05,ICN,PR,DN,33,34
2021-06-05,ICN,PR,LN,53,10
2021-06-06,ICN,FR,BK,4,0
2021-06-06,ICN,FR,DN,2,0
2021-06-06,ICN,FR,LN,2,0
2021-06-06,ICN,MR,BK,8,0
2021-06-06,ICN,MR,DN,6,0
2021-06-06,ICN,MR,LN,7,0
2021-06-06,ICN,PR,BK,77,31
2021-06-06,ICN,PR,DN,55,14
2021-06-06,ICN,PR,LN,65,12
2021-06-07,ICN,FR,BK,1,0
2021-06-07,ICN,FR,DN,4,0
2021-06-07,ICN,FR,LN,2,0
2021-06-07,ICN,MR,BK,5,0
2021-06-07,ICN,MR,DN,5,0
2021-06-07,ICN,MR,LN,3,0
2021-06-07,ICN,PR,BK,63,3
2021-06-07,ICN,PR,DN,18,16
2021-06-07,ICN,PR,LN,47,2
2021-06-08,ICN,FR,BK,3,0
2021-06-08,ICN,MR,BK,6,0
2021-06-08,ICN,MR,DN,1,0
2021-06-08,ICN,MR,LN,5,0
2021-06-08,ICN,PR,BK,76,1
2021-06-08,ICN,PR,DN,25,12
2021-06-08,ICN,PR,LN,64,11
2021-06-09,ICN,FR,BK,3,0
2021-06-09,ICN,FR,DN,3,0
2021-06-09,ICN,FR,LN,2,0
2021-06-09,ICN,MR,BK,24,0
2021-06-09,ICN,MR,DN,5,0
2021-06-09,ICN,MR,LN,5,0
2021-06-09,ICN,PR,BK,124,2
2021-06-09,ICN,PR,DN,45,5
2021-06-09,ICN,PR,LN,69,2
2021-06-10,ICN,FR,BK,3,0
2021-06-10,ICN,FR,DN,1,0
2021-06-10,ICN,MR,BK,9,0
2021-06-10,ICN,MR,DN,6,0
2021-06-10,ICN,MR,LN,3,0
2021-06-10,ICN,PR,BK,72,9
2021-06-10,ICN,PR,DN,77,39
2021-06-10,ICN,PR,LN,63,22
2021-06-11,ICN,FR,BK,4,0
2021-06-11,ICN,FR,DN,3,0
2021-06-11,ICN,FR,LN,4,0
2021-06-11,ICN,MR,BK,11,0
2021-06-11,ICN,MR,DN,7,0
2021-06-11,ICN,MR,LN,10,0
2021-06-11,ICN,PR,BK,128,31
2021-06-11,ICN,PR,DN,46,4
